id,full_name,email,password_hash,role,account_status,created_at,updated_at,profile_image_url,program_id,current_study_year,current_semester,must_change_password
21,Tamar Biton,tamar.biton@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,7.0,First,A,False
22,Yael Harari,yael.harari@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,2.0,First,B,False
23,Omer Dahan,omer.dahan@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,2.0,Second,A,False
24,Neta Amar,neta.amar@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,3.0,First,B,False
25,Amit Cohen,amit.cohen@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,3.0,Second,A,False
26,Noam Shamir,noam.shamir@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,4.0,First,B,False
27,Shira Azulay,shira.azulay@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,4.0,Second,A,False
28,Maya Rahamim,maya.rahamim@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,5.0,First,B,False
29,Ido Malka,ido.malka@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,5.0,Second,A,False
30,Roy Ben Simon,roy.bensimon@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,6.0,First,B,False
31,Hila Romano,hila.romano@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,6.0,Second,A,False
32,Ari Golan,ari.golan@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,7.0,First,B,False
33,Dana Friedman,dana.friedman@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,7.0,Second,A,False
34,Dr. Amir Sela,amir.sela@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
35,Dr. Hagar Cohen,hagar.cohen@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
36,Dr. Eyal Rosenthal,eyal.rosenthal@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
37,Dr. Michal Zohar,michal.zohar@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
38,Dr. Nadav Bar,nadav.bar@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
39,Dr. Keren Shapira,keren.shapira@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
40,Dr. Roni Tal,roni.tal@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
41,Dr. Yaara Stein,yaara.stein@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
42,Dr. Oren Shaked,oren.shaked@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
43,Dr. Galit Mor,galit.mor@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
44,Dr. Itai Shalev,itai.shalev@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
45,Dr. Liron Katz,liron.katz@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
46,Dr. Talia Green,talia.green@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
47,Dr. Avner Cohen,avner.cohen@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
48,Dr. Noa Klein,noa.klein@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
49,Dr. Yair Naveh,yair.naveh@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
50,Dr. Alma Lavi,alma.lavi@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
51,Dr. Eran Barak,eran.barak@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
52,Dr. Dafna Levi,dafna.levi@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
53,Dr. Uri Mizrahi,uri.mizrahi@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
54,Dr. Yael Shani,yael.shani@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
55,Dr. Miriam Azulay,miriam.azulay@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
56,Dr. Yoav Ben Natan,yoav.bennatan@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
57,Dr. Hadas Avraham,hadas.avraham@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
58,Dr. Gilad Sharabi,gilad.sharabi@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
59,Dr. Noa Aharoni,noa.aharoni@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
60,Dr. Eitan Romano,eitan.romano@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
61,Dr. Sarah Friedman,sarah.friedman@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,,,,False
62,Adam Levi,adam.levi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Second,B,False
63,Noa Cohen,noa.cohen63@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Third,A,False
64,Daniel Mizrahi,daniel.mizrahi64@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Fourth,B,False
65,Maya Avraham,maya.avraham@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,First,A,False
66,Eitan Biton,eitan.biton@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Second,B,False
67,Shira Peretz,shira.peretz@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Third,A,False
68,Amit Dahan,amit.dahan@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Fourth,B,False
69,Tamar Azulay,tamar.azulay@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,First,A,False
70,Ido Barak,ido.barak@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Second,B,False
71,Hila Shalev,hila.shalev@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Third,A,False
72,Roy Katz,roy.katz@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Fourth,B,False
73,Neta Mor,neta.mor@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,First,A,False
74,Omer Naveh,omer.naveh@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Second,B,False
75,Yael Ben Ami,yael.benami@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Third,A,False
76,Lior Shapira,lior.shapira@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Fourth,B,False
77,Roni Tal,roni.tal@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,First,A,False
78,Gal Friedman,gal.friedman@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Second,B,False
79,Dana Amar,dana.amar@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Third,A,False
80,Yair Golan,yair.golan@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,1,Fourth,B,False
81,Alma Harari,alma.harari@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Third,A,False
82,Itai Romano,itai.romano@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Fourth,B,False
83,Keren Ben David,keren.bendavid@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,First,A,False
84,Uri Shamir,uri.shamir@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Second,B,False
85,Dafna Malka,dafna.malka@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Third,A,False
86,Eden Sela,eden.sela@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Fourth,B,False
87,Nadav Zohar,nadav.zohar@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,First,A,False
88,Hagar Green,hagar.green@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Second,B,False
89,Oren Lavi,oren.lavi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Third,A,False
90,Talia Klein,talia.klein@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Fourth,B,False
91,Avner Shani,avner.shani@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,First,A,False
92,Yarden Rahav,yarden.rahav@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Second,B,False
93,Adi Ohana,adi.ohana@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Third,A,False
94,Guy Maman,guy.maman@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Fourth,B,False
95,Shani Atias,shani.atias@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,First,A,False
96,Matan Carmi,matan.carmi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Second,B,False
97,Linoy Kadosh,linoy.kadosh@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Third,A,False
98,Ariel Yosef,ariel.yosef@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Fourth,B,False
99,Bar Sasson,bar.sasson@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,First,A,False
100,Ofir Hadad,ofir.hadad@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Second,B,False
101,Chen Tzur,chen.tzur@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T00:00:00.000Z""","""2026-05-24T00:00:00.000Z""",,2,Third,A,False
