id,full_name,email,password_hash,role,account_status,created_at,updated_at,profile_image_url,program_id,current_study_year,current_semester,must_change_password
14,Ori Mechanical,ori.mechanical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,3.0,First,A,False
15,Dr. Yael Katz,yael.katz@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,,,,True
16,Rina Chemical,rina.chemical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,4.0,First,A,False
17,Dr. Eyal Mor,eyal.mor@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,,,,True
18,Lior IEM,lior.iem@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,5.0,First,A,False
19,Dr. Gal Naveh,gal.naveh@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,,,,True
20,Eden Electrical,eden.electrical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,6.0,First,A,False
21,Tamar Computer Science,tamar.computer.science@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,7.0,First,A,False
22,Yael Civil,yael.civil@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,2.0,First,B,False
23,Omer Civil,omer.civil@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,2.0,Second,A,False
24,Neta Mechanical,neta.mechanical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,3.0,First,B,False
25,Amit Mechanical,amit.mechanical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,3.0,Second,A,False
26,Noam Chemical,noam.chemical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,4.0,First,B,False
27,Shira Chemical,shira.chemical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,4.0,Second,A,False
28,Maya IEM,maya.iem@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,5.0,First,B,False
29,Ido IEM,ido.iem@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,5.0,Second,A,False
30,Roy Electrical,roy.electrical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,6.0,First,B,False
31,Hila Electrical,hila.electrical@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,6.0,Second,A,False
32,Ari Computer Science,ari.computer.science@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,7.0,First,B,False
33,Dana Computer Science,dana.computer.science@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T20:00:00.000Z""","""2026-05-18T20:00:00.000Z""",,7.0,Second,A,False
